Time,GeoType,GeoID,GeoRank,Geography,10th percentile absorbance units,90th percentile absorbance units,Mean absorbance units
Annual Average 2021,CD,101,6,Financial District (CD1),0.8,0.9,0.8
Annual Average 2021,CD,102,6,Greenwich Village and Soho (CD2),0.8,0.9,0.9
Annual Average 2021,CD,103,6,Lower East Side and Chinatown (CD3),0.6,0.9,0.8
Annual Average 2021,CD,104,6,Clinton and Chelsea (CD4),0.8,1.0,0.9
Annual Average 2021,CD,105,6,Midtown (CD5),0.9,1.1,1.0
Annual Average 2021,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),0.7,0.9,0.8
Annual Average 2021,CD,107,6,Upper West Side (CD7),0.7,0.7,0.7
Annual Average 2021,CD,108,6,Upper East Side (CD8),0.6,0.8,0.7
Annual Average 2021,CD,109,6,Morningside Heights and Hamilton Heights (CD9),0.7,0.7,0.7
Annual Average 2021,CD,110,6,Central Harlem (CD10),0.7,0.7,0.7
Annual Average 2021,CD,111,6,East Harlem (CD11),0.7,0.7,0.7
Annual Average 2021,CD,112,6,Washington Heights and Inwood (CD12),0.6,1.1,0.8
Annual Average 2021,CD,201,6,Mott Haven and Melrose (CD1),0.6,0.9,0.8
Annual Average 2021,CD,202,6,Hunts Point and Longwood (CD2),0.7,1.1,0.8
Annual Average 2021,CD,203,6,Morrisania and Crotona (CD3),0.7,0.8,0.7
Annual Average 2021,CD,204,6,Highbridge and Concourse (CD4),0.7,0.9,0.7
Annual Average 2021,CD,205,6,Fordham and University Heights (CD5),0.7,0.9,0.8
Annual Average 2021,CD,206,6,Belmont and East Tremont (CD6),0.7,0.8,0.7
Annual Average 2021,CD,207,6,Kingsbridge Heights and Bedford (CD7),0.6,0.7,0.7
Annual Average 2021,CD,208,6,Riverdale and Fieldston (CD8),0.6,0.7,0.7
Annual Average 2021,CD,209,6,Parkchester and Soundview (CD9),0.6,0.8,0.7
Annual Average 2021,CD,210,6,Throgs Neck and Co-op City (CD10),0.6,0.7,0.7
Annual Average 2021,CD,211,6,Morris Park and Bronxdale (CD11),0.6,0.7,0.6
Annual Average 2021,CD,212,6,Williamsbridge and Baychester (CD12),0.6,0.7,0.7
Annual Average 2021,CD,301,6,Greenpoint and Williamsburg (CD1),0.7,1.1,0.9
Annual Average 2021,CD,302,6,Fort Greene and Brooklyn Heights (CD2),0.6,0.8,0.7
Annual Average 2021,CD,303,6,Bedford Stuyvesant (CD3),0.6,0.8,0.6
Annual Average 2021,CD,304,6,Bushwick (CD4),0.5,0.8,0.6
Annual Average 2021,CD,305,6,East New York and Starrett City (CD5),0.5,0.7,0.6
Annual Average 2021,CD,306,6,Park Slope and Carroll Gardens (CD6),0.6,0.8,0.7
Annual Average 2021,CD,307,6,Sunset Park (CD7),0.5,0.9,0.7
Annual Average 2021,CD,308,6,Crown Heights and Prospect Heights (CD8),0.6,0.6,0.6
Annual Average 2021,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),0.6,0.6,0.6
